T_parison,T_mold,T_gob,t_contact,t_cooling,Error
995.0517224493238,376.0621802371486,1127,3.9056952171958983,4.5106920816004274,1.8445372442496364
994.9426910531226,375.9828867882243,1127,3.9056952163390815,4.5106920816004274,1.735505848048433
994.8410543105842,375.9093616327519,1127,3.9056952163390815,4.5106920816004274,1.6338691055100298
994.7463673673681,375.8412036007685,1127,3.9056952163390815,4.5106920816004274,1.539182162293855
994.6582050906073,375.7780370042943,1127,3.9056952163390815,4.5106920816004274,1.4510198855331282
994.5761620376849,375.71951032232806,1127,3.9056952154822646,4.5106920816004274,1.368976832610656
994.4998522863042,375.66529491867004,1127,3.905695216599852,4.5106920816004274,1.292667081229979
994.428909227821,375.61508379336635,1127,3.9056952163390815,4.5106920816004274,1.2217240227467983
994.3629852390108,375.5685903721781,1127,3.9056952163390815,4.5106920816004274,1.1558000339365435
994.301751249481,375.52554733769193,1127,3.9056952154822646,4.5106920816004274,1.094566044406747
994.2448962609471,375.48570550321534,1127,3.9056952163390815,4.5106920816004274,1.0377110558729328
994.1921268717651,375.4488327283241,1127,3.9056952163390815,4.5106920816004274,0.9849416666909292
994.1431666576462,375.4147128813425,1127,3.9056952163390815,4.510692087113857,0.9359814525720367
994.0977554719084,375.3831448511488,1127,3.9056952163390815,4.510692087113857,0.8905702668341746
994.0556489636411,375.35394159816747,1127,3.9056952152214945,4.510692087113857,0.8484637585669361
994.0166177936117,375.32692925649764,1127,3.9056952152214945,4.510692087113857,0.8094325885374474
993.9804469848758,375.30194628049986,1127,3.9056952152214945,4.510692087113857,0.7732617798016008
993.9469352392499,375.27884263641033,1127,3.9056952152214945,4.510692087113857,0.7397500341756995
993.9158942554496,375.25747903803233,1127,3.9056952152214945,4.510692087113857,0.7087090503754325
993.8871480257482,375.2377262265557,1127,3.9056952152214945,4.5106920816004274,0.6799628206739499
993.8605322875222,375.21946428713056,1127,3.9056952152214945,4.5106920816004274,0.6533470824480219
993.8358936995721,375.2025820130742,1127,3.9056952152214945,4.5106920816004274,0.6287084944979142
993.8130893306018,375.1869763036501,1127,3.9056952152214945,4.5106920816004274,0.6059041255275588
993.7919860190958,375.172551600191,1127,3.9056952152214945,4.5106920816004274,0.5848008140216052
993.7724597861169,375.15921935760804,1127,3.9056952152214945,4.5106920816004274,0.5652745810426723
993.7543952714072,375.1468975496211,1127,3.9056952152214945,4.5106920816004274,0.5472100663330366
993.7376851941901,375.1355102060337,1127,3.9056952152214945,4.5106920816004274,0.5304999891159241
993.7222298327882,375.12498698065025,1127,3.9056952171958983,4.5106920816004274,0.515044627714019
993.7079365603762,375.1152627468717,1127,3.9056952171958983,4.5106920816004274,0.5007513553019862
993.6947193433563,375.10627722205726,1127,3.9056952171958983,4.5106920816004274,0.48753413828205794
993.6824983339951,375.097974616091,1127,3.9056952163390815,4.5106920816004274,0.4753131289209023
993.6711994529879,375.0903033041659,1127,3.9056952152214945,4.510692087113857,0.4640142479137239
993.6607539198791,375.0832155254667,1127,3.9056952152214945,4.510692087113857,0.4535687148048737
993.651098036768,375.07666709665153,1127,3.9056952152214945,4.510692087113857,0.4439128316937513
