Case,Cycle,temp_mold_init,temp_mold_final_sim,temp_mold_final_real,Error_mold,temp_gob_init,temp_gob_final_sim,temp_gob_final_real,Error_gob
1,1,404.0019302,403.405149710656,403.570618,-0.165468289343949,1100,999.637036183947,988.211045,11.4259911839466
1,2,403.570618,402.978837510622,403.1427306,-0.163893089378064,1100,999.281615071708,988.1944542,11.0871608717076
1,3,403.1427306,402.555917979116,402.7183171,-0.162399120883833,1100,998.928141989219,988.1860182,10.742123789219
1,4,402.7183171,402.13643961048,402.2971409,-0.160701289519523,1100,998.576661632212,988.1759923,10.4006693322125
1,5,402.2971409,401.720168512924,401.8790045,-0.15883598707552,1100,998.226983044307,988.1620735,10.0649095443069
1,6,401.8790045,401.306909443778,401.4638107,-0.156901256222341,1100,997.878947209157,988.143318,9.73562920915742
1,7,401.4638107,400.896566291384,401.0514589,-0.154892608616024,1100,997.532478480264,988.1195836,9.41289488026371
1,8,401.0514589,400.489039581083,400.6418617,-0.152822118916731,1100,997.187498684818,988.0910711,9.09642758481766
1,9,400.6418617,400.084242881527,400.2349723,-0.150729418472906,1100,996.843940946979,988.0580634,8.7858775469789
1,10,400.2349723,399.682129882197,399.8307073,-0.148577417802528,1100,996.501772826946,988.0210606,8.48071222694603
1,11,399.8307073,399.282618098587,399.4290028,-0.146384701413183,1100,996.160931522465,987.9804357,8.18049582246454
1,12,399.4290028,398.885644314994,399.0298451,-0.144200785005751,1100,995.821370890602,987.9367165,7.88465439060178
1,13,399.0298451,398.491194920764,398.633185,-0.141990079235654,1100,995.483087654843,987.8902361,7.5928515548427
1,14,398.633185,398.099221219301,398.2389749,-0.13975368069913,1100,995.146048991088,987.8414402,7.30460879108796
1,15,398.2389749,397.709676092481,397.8472179,-0.137541807518517,1100,994.810223734857,987.7905023,7.01972143485693
1,16,397.8472179,397.322562518473,397.4578491,-0.135286581526827,1100,994.475624343013,987.7378533,6.73777104301325
1,17,397.4578491,396.937816277586,397.0708603,-0.133044022413912,1100,994.142205635486,987.6838007,6.45840493548553
1,18,397.0708603,396.555429175126,396.6862093,-0.130780124874434,1100,993.809971198615,987.6283973,6.18157389861551
2,1,404.0019302,403.597420038354,403.6822988,-0.0848787616463937,1100,994.274970971052,988.211058,6.06391297105199
2,2,403.6822988,403.281392139824,403.3646351,-0.0832429601759372,1100,994.007298076304,988.1944712,5.81282687630403
2,3,403.3646351,402.967313759574,403.0491597,-0.0818459404255236,1100,993.740811094796,988.1861499,5.55466119479604
2,4,403.0491597,402.655403001118,402.7357636,-0.0803605988822937,1100,993.475695871543,988.1767719,5.29892397154265
2,5,402.7357636,402.345552083327,402.4243296,-0.0787775166727442,1100,993.211862289744,988.1644748,5.04738748974444
2,6,402.4243296,402.037645119818,402.1148198,-0.077174680181713,1100,992.949213099653,988.1485865,4.80062659965301
2,7,402.1148198,401.731644627079,401.80718,-0.0755353729210242,1100,992.687717818065,988.1290589,4.55865891806502
2,8,401.80718,401.427497005297,401.501361,-0.0738639947033448,1100,992.427332317904,988.1060659,4.32126641790387
2,9,401.501361,401.125153597394,401.1973476,-0.0721940026058974,1100,992.168016761516,988.0798182,4.0881985615157
2,10,401.1973476,400.824599358695,400.8950841,-0.0704847413048242,1100,991.909760278325,988.050704,3.85905627832506
2,11,400.8950841,400.525779203964,400.5945313,-0.0687520960356665,1100,991.652517751814,988.0189861,3.63353165181445
2,12,400.5945313,400.228654359788,400.2956952,-0.0670408402119165,1100,991.396258131412,987.9850704,3.41118773141238
2,13,400.2956952,399.933230735658,399.9985462,-0.0653154643417793,1100,991.140989085509,987.9491845,3.19180458550898
2,14,399.9985462,399.639479045315,399.7030523,-0.0635732546849681,1100,990.886688134494,987.9116696,2.97501853449364
2,15,399.7030523,399.34736762904,399.4092343,-0.061866670960228,1100,990.633330847667,987.8726133,2.76071754766713
2,16,399.4092343,399.056917020911,399.1170409,-0.0601238790888488,1100,990.380938273254,987.8323554,2.54858287325419
2,17,399.1170409,398.768076479289,398.826476,-0.0583995207105659,1100,990.129469760088,987.7911301,2.33833966008751
2,18,398.826476,398.480849828534,398.5375102,-0.056660371466478,1100,989.878932231141,987.7489261,2.1300061311407
3,1,404.0019302,403.673880323315,403.7755113,-0.101630976684817,1100,995.068407211725,988.2110513,6.85735591172465
3,2,403.7755113,403.450060887171,403.5500022,-0.0999413128288893,1100,994.866941862862,988.1944734,6.67246846286207
3,3,403.5500022,403.22714337457,403.3257347,-0.0985913254303341,1100,994.665989956933,988.1862394,6.47975055693269
3,4,403.3257347,403.005455727853,403.1026863,-0.0972305721468842,1100,994.46585229102,988.1773728,6.28847949102044
3,5,403.1026863,402.784975656113,402.8807977,-0.0958220438867556,1100,994.266514511967,988.1664005,6.10011401196732
3,6,402.8807977,402.565644493936,402.6600713,-0.0944268060637228,1100,994.067929176354,988.1528743,5.91505487635436
3,7,402.6600713,402.347464566506,402.4404845,-0.0930199334940198,1100,993.870103860646,988.1368235,5.73328036064618
3,8,402.4404845,402.130413487873,402.2220117,-0.0915982121265984,1100,993.673023683761,988.1184119,5.55461178376095
3,9,402.2220117,401.914465907915,402.0046606,-0.0901946920847081,1100,993.476670935727,988.0977882,5.37888273572753
3,10,402.0046606,401.699629392337,401.7883935,-0.0887641076625982,1100,993.281057751424,988.0752512,5.20580655142351
3,11,401.7883935,401.485866632655,401.5731882,-0.0873215673454979,1100,993.08615534105,988.0509708,5.03518454104983
3,12,401.5731882,401.273155642422,401.3590635,-0.0859078575781496,1100,992.8919487077,988.0252485,4.86670020769986
3,13,401.3590635,401.061514960456,401.1460044,-0.0844894395439155,1100,992.698459800171,987.9982319,4.70022790017072
3,14,401.1460044,400.850929717616,400.9339897,-0.0830599823842135,1100,992.505680032083,987.970167,4.53551303208292
3,15,400.9339897,400.641378917671,400.7230505,-0.0816715823294771,1100,992.313595101344,987.9410694,4.37252570134422
3,16,400.7230505,400.43289325687,400.5131457,-0.0802524431301777,1100,992.122238057553,987.9112085,4.21102955755339
3,17,400.5131457,400.225432071319,400.3042884,-0.0788563286807857,1100,991.931576445949,987.8807553,4.05082114594904
3,18,400.3042884,400.01900826722,400.0964577,-0.0774494327794741,1100,991.741626919971,987.8496433,3.89198361997137
4,1,404.0019302,403.870817695554,403.8875515,-0.0167338044460053,1100,986.79056691908,988.2110386,-1.42047168091983
4,2,403.8875515,403.757700512333,403.772995,-0.0152944876665515,1100,986.689831927201,988.1944572,-1.50462527279944
4,3,403.772995,403.644408157317,403.6586944,-0.0142862426828287,1100,986.588863481877,988.1863169,-1.59745341812322
4,4,403.6586944,403.531369545978,403.5447124,-0.0133428540216869,1100,986.488043678101,988.1780422,-1.68999852189916
4,5,403.5447124,403.41864668306,403.4310431,-0.0123964169398505,1100,986.387428165412,988.1686216,-1.78119343458775
4,6,403.4310431,403.306233730195,403.3177266,-0.0114928698048402,1100,986.287012143984,988.1578909,-1.8708787560156
4,7,403.3177266,403.194170340274,403.204769,-0.0105986597261563,1100,986.18683148754,988.1459821,-1.95915061245978
4,8,403.204769,403.082462541482,403.0921678,-0.00970525851761295,1100,986.086892090976,988.1330474,-2.04615530902379
4,9,403.0921678,402.971107857041,402.9799506,-0.00884274295873411,1100,985.987192254115,988.119163,-2.13197074588504
4,10,402.9799506,402.860133576702,402.8680956,-0.00796202329792095,1100,985.887756957495,988.1045206,-2.21676364250493
4,11,402.8680956,402.749518137109,402.7565961,-0.00707796289077578,1100,985.788567438596,988.0891795,-2.30061206140374
4,12,402.7565961,402.639254907903,402.6454845,-0.00622959209732699,1100,985.68961828718,988.0733236,-2.38370531281964
4,13,402.6454845,402.52937592496,402.534758,-0.00538207503961985,1100,985.590938818657,988.0569927,-2.4660538813431
4,14,402.534758,402.41987841416,402.424406,-0.00452758583998047,1100,985.492527143579,988.0403294,-2.54780225642105
4,15,402.424406,402.310751888045,402.3144707,-0.0037188119550251,1100,985.394374429574,988.0232559,-2.62888147042577
4,16,402.3144707,402.202038072552,402.20492,-0.00288192744767457,1100,985.296518836677,988.0059579,-2.70943906332275
4,17,402.20492,402.093705218789,402.0957759,-0.00207068121119391,1100,985.198932431851,987.9885322,-2.78959976814883
4,18,402.0957759,401.985775076684,401.9870252,-0.00125012331596963,1100,985.101635446481,987.9708426,-2.86920715351914
5,1,404.0019302,403.979275509179,403.9810795,-0.00180399082137228,1100,986.310398661125,988.2109459,-1.90054723887511
5,2,403.9810795,403.958653145193,403.9593019,-0.000648754806604757,1100,986.291479837178,988.1943556,-1.90287576282151
5,3,403.9593019,403.937114056399,403.9370852,2.88563986714507e-05,1100,986.271717148921,988.1862805,-1.91456335107887
5,4,403.9370852,403.915140702699,403.9145471,0.000593602699211715,1100,986.251552992976,988.1784725,-1.92691950702431
5,5,403.9145471,403.892849496234,403.8917145,0.00113499623381585,1100,986.231094040639,988.1703134,-1.93921935936135
5,6,403.8917145,403.870267043433,403.8686492,0.00161784343282534,1100,986.210364583246,988.1618811,-1.95151651675383
5,7,403.8686492,403.847454468189,403.8453739,0.00208056818928526,1100,986.189420618161,988.1533959,-1.96397528183923
5,8,403.8453739,403.824434222593,403.8218999,0.00253432259262354,1100,986.168282664262,988.1450049,-1.97672223573807
5,9,403.8218999,403.801217483572,403.798265,0.00295248357150513,1100,986.146960896879,988.1367258,-1.98976490312111
5,10,403.798265,403.777841637529,403.7744583,0.00338333752904418,1100,986.125489573245,988.1286639,-2.00317432675479
5,11,403.7744583,403.754295904562,403.7504816,0.00381430456212684,1100,986.103858719348,988.1207868,-2.01692808065195
5,12,403.7504816,403.730582065583,403.726375,0.0042070655828752,1100,986.082069896403,988.1131781,-2.03110820359734
5,13,403.726375,403.706739781538,403.7021436,0.0045961815376927,1100,986.060159479761,988.1057924,-2.0456329202392
5,14,403.7021436,403.682774096993,403.6777834,0.00499069699321808,1100,986.038132048876,988.0986805,-2.06054845112374
5,15,403.6777834,403.658681056298,403.6533419,0.00533915629790727,1100,986.015983911676,988.0916885,-2.07570458832447
5,16,403.6533419,403.634507638922,403.6287941,0.00571353892166826,1100,985.993758208377,988.0849306,-2.0911723916231
5,17,403.6287941,403.610229119433,403.604168,0.00606111943267251,1100,985.971432163846,988.0784467,-2.10701453615377
5,18,403.604168,403.58587319104,403.579454,0.00641919103975397,1100,985.949031202828,988.072036,-2.12300479717248
6,1,403.9979072,403.358860145256,403.5220821,-0.163221954743733,1100,1004.11760746147,992.935058,11.1825494614695
6,2,403.5220821,402.888460825251,403.050546,-0.162085174749279,1100,1003.73656585473,992.8532218,10.8833440547296
6,3,403.050546,402.422308184751,402.5830288,-0.160720615249261,1100,1003.35819724098,992.7989616,10.5592356409811
6,4,402.5830288,401.96013537315,402.1191598,-0.159024426849555,1100,1002.98226586767,992.7533216,10.2289442676699
6,5,402.1191598,401.501576082171,401.6586693,-0.157093217828901,1100,1002.60845596427,992.7102254,9.89823056427235
6,6,401.6586693,401.046363844075,401.2014165,-0.155052655925147,1100,1002.23653352759,992.6668182,9.56971532758894
6,7,401.2014165,400.59435960581,400.747272,-0.152912394189968,1100,1001.8663695564,992.6218181,9.2445514564015
6,8,400.747272,400.145435572027,400.2961293,-0.150693727972794,1100,1001.49784559135,992.5746904,8.9231551913482
6,9,400.2961293,399.699486573096,399.8479281,-0.148441526903866,1100,1001.13086302239,992.5251907,8.6056723223852
6,10,399.8479281,399.256453095586,399.4025756,-0.146122504414109,1100,1000.76536219116,992.4734449,8.29191729116337
6,11,399.4025756,398.816243488803,398.9600014,-0.143757911196815,1100,1000.40125831271,992.419522,7.98173631271356
6,12,398.9600014,398.378788233276,398.5201862,-0.141397966723673,1100,1000.03848607549,992.3637311,7.67475497549287
6,13,398.5201862,397.944068306912,398.0830766,-0.139008293087841,1100,999.677023385274,992.306211,7.37081238527401
6,14,398.0830766,397.512030970479,397.6486228,-0.136591829521194,1100,999.316821523874,992.2472653,7.06955622387375
6,15,397.6486228,397.082627033071,397.2168243,-0.134197266929164,1100,998.957835877045,992.18693,6.77090587704538
6,16,397.2168243,396.655856019981,396.7876147,-0.131758680019004,1100,998.600063803931,992.1255454,6.47451840393057
6,17,396.7876147,396.231652313237,396.3609837,-0.129331386763454,1100,998.243449274662,992.0633265,6.18012277466244
6,18,396.3609837,395.810005732258,395.9368876,-0.126881867741531,1100,997.887983824989,992.000248,5.88773582498845
7,1,403.9979072,403.564975261559,403.6337644,-0.0687891384412751,1100,994.767900337048,992.9351248,1.83277553704761
7,2,403.6337644,403.205069700259,403.2724547,-0.0673849997405682,1100,994.450823131176,992.8533058,1.59751733117594
7,3,403.2724547,402.8479716437,402.9138792,-0.0659075563003739,1100,994.13536214799,992.7991645,1.33619764799028
7,4,402.9138792,402.493583202706,402.5577959,-0.0642126972937263,1100,993.82144740774,992.7541558,1.06729160773955
7,5,402.5577959,402.141665068226,402.2040169,-0.0623518317737535,1100,993.508882597717,992.7126185,0.796264097717426
7,6,402.2040169,401.792031413274,401.8524585,-0.0604270867258947,1100,993.197517174982,992.6719545,0.525562674981984
7,7,401.8524585,401.444599399034,401.50304,-0.0584406009662075,1100,992.887291252684,992.6309756,0.256315652684293
7,8,401.50304,401.099289155397,401.1556911,-0.056401944602726,1100,992.578147138567,992.5891172,-0.0109700614327721
7,9,401.1556911,400.756031093594,400.8103838,-0.0543527064057798,1100,992.270035924363,992.5460715,-0.27603557563657
