Cycle,Time,T_parison,T_mold,T_gob,t_contact,t_cooling,Error,Reward
170,2284.56,991.9676772,378.9374611,1123,3.866920045,4.392008755,0.32925921,-0.32925921
171,2297.92,991.9692675,378.9389286,1123,3.866920045,4.392008755,0.327668954,-0.327668954
172,2311.28,991.9707614,378.9403071,1123,3.866920045,4.392008755,0.326175073,-0.326175073
173,2324.64,991.9721647,378.9416022,1123,3.866920045,4.392008755,0.324771728,-0.324771728
174,2338,991.973483,378.9428187,1123,3.866920045,4.392008755,0.323453431,-0.323453431
175,2351.36,991.9747214,378.9439615,1123,3.866920045,4.392008755,0.322215027,-0.322215027
176,2364.72,991.9758848,378.9450351,1123,3.866920045,4.392008755,0.321051674,-0.321051674
177,2378.08,991.9769776,378.9460436,1123,3.866920045,4.392008755,0.319958825,-0.319958825
178,2391.44,991.9780042,378.9469909,1123,3.866920045,4.392008755,0.318932206,-0.318932206
179,2404.8,991.9789686,378.9478809,1123,3.866920045,4.392008755,0.317967802,-0.317967802
180,2418.16,991.9798746,378.9487169,1123,3.866920045,4.392008755,0.317061844,-0.317061844
181,2431.52,991.9807256,378.9495023,1123,3.866920045,4.392008755,0.31621079,-0.31621079
182,2444.88,991.9815251,378.9502401,1123,3.866920045,4.392008755,0.315411311,-0.315411311
183,2458.24,991.9822761,378.9509332,1123,3.866920045,4.392008755,0.314660283,-0.314660283
184,2471.6,991.9829817,378.9515842,1123,3.866920045,4.392008755,0.313954769,-0.313954769
185,2484.96,991.9836444,378.9521958,1123,3.866920045,4.392008755,0.313292011,-0.313292011
186,2498.32,991.984267,378.9527704,1123,3.866920045,4.392008755,0.312669417,-0.312669417
187,2511.68,991.9848519,378.9533101,1123,3.866920045,4.392008755,0.312084553,-0.312084553
188,2525.04,991.9854013,378.9538171,1123,3.866920045,4.392008755,0.311535133,-0.311535133
189,2538.4,991.9859174,378.9542934,1123,3.866920045,4.392008755,0.311019009,-0.311019009
190,2551.76,991.9864023,378.9547409,1123,3.866920045,4.392008755,0.310534163,-0.310534163
191,2565.12,991.9868577,378.9551612,1123,3.866920045,4.392008755,0.3100787,-0.3100787
192,2578.48,991.9872856,378.955556,1123,3.866920045,4.392008755,0.309650838,-0.309650838
193,2591.84,991.9876875,378.955927,1123,3.866920045,4.392008755,0.309248905,-0.309248905
194,2605.2,991.9880651,378.9562754,1123,3.866920045,4.392008755,0.30887133,-0.30887133
195,2618.56,991.9884198,378.9566027,1123,3.866920045,4.392008755,0.308516636,-0.308516636
196,2631.92,991.988753,378.9569102,1123,3.866920045,4.392008755,0.308183438,-0.308183438
197,2645.28,991.989066,378.9571991,1123,3.866920045,4.392008755,0.307870431,-0.307870431
198,2658.64,991.98936,378.9574704,1123,3.866920045,4.392008755,0.307576394,-0.307576394
199,2672,991.9896363,378.9577253,1123,3.866920045,4.392008755,0.307300175,-0.307300175
200,2685.36,991.9898957,378.9579648,1123,3.866920045,4.392008755,0.307040695,-0.307040695
201,2698.72,991.9901395,378.9581897,1123,3.866920045,4.392008755,0.30679694,-0.30679694
202,2712.08,991.9903685,378.958401,1123,3.866920045,4.392008755,0.306567957,-0.306567957
203,2725.44,991.9905836,378.9585996,1123,3.866920045,4.392008755,0.30635285,-0.30635285
204,2738.8,991.9907856,378.958786,1123,3.866920045,4.392008755,0.30615078,-0.30615078
205,2752.16,991.9909755,378.9589612,1123,3.866920045,4.392008755,0.305960954,-0.305960954
206,2765.52,991.9911538,378.9591258,1123,3.866920045,4.392008755,0.305782633,-0.305782633
207,2778.88,991.9913213,378.9592804,1123,3.866920045,4.392008755,0.305615118,-0.305615118
208,2792.24,991.9914787,378.9594256,1123,3.866920045,4.392008755,0.305457754,-0.305457754
209,2805.6,991.9916265,378.959562,1123,3.866920045,4.392008755,0.305309927,-0.305309927
210,2818.96,991.9917654,378.9596902,1123,3.866920045,4.392008755,0.305171058,-0.305171058
211,2832.32,991.9918958,378.9598106,1123,3.866920045,4.392008755,0.305040605,-0.305040605
212,2845.68,991.9920184,378.9599236,1123,3.866920045,4.392008755,0.304918057,-0.304918057
213,2859.04,991.9921335,378.9600299,1123,3.866920045,4.392008755,0.304802936,-0.304802936
214,2872.4,991.9922416,378.9601297,1123,3.866920045,4.392008755,0.304694791,-0.304694791
215,2885.76,991.9923432,378.9602234,1123,3.866920045,4.392008755,0.3045932,-0.3045932
216,2899.12,991.9924387,378.9603115,1123,3.866920045,4.392008755,0.304497765,-0.304497765
217,2912.48,991.9925283,378.9603942,1123,3.866920045,4.392008755,0.304408114,-0.304408114
218,2925.84,991.9926125,378.960472,1123,3.866920045,4.392008755,0.304323895,-0.304323895
219,2939.2,991.9926916,378.960545,1123,3.866920045,4.392008755,0.304244781,-0.304244781
220,2952.56,991.992766,378.9606136,1123,3.866920045,4.392008755,0.30417046,-0.30417046
221,2965.92,991.9928358,378.960678,1123,3.866920045,4.392008755,0.304100644,-0.304100644
222,2979.28,991.9929014,378.9607385,1123,3.866920045,4.392008755,0.304035059,-0.304035059
223,2992.64,991.992963,378.9607954,1123,3.866920045,4.392008755,0.303973448,-0.303973448
224,3006,991.9930209,378.9608488,1123,3.866920045,4.392008755,0.30391557,-0.30391557
225,3019.36,991.9930752,378.960899,1123,3.866920045,4.392008755,0.3038612,-0.3038612
