Scenario,Cycle,Time (s),T_parison (°C),T_mold (°C),Initial T_gob (°C),T_air (°C)
Baseline,93,1242.479999999999,968.7939668001322,374.72494632447075,1100,50
Baseline,94,1255.839999999999,968.7939664565897,374.72494610299793,1100,50
Baseline,95,1269.199999999999,968.7939661400259,374.72494589892756,1100,50
Baseline,96,1282.5599999999988,968.7939658483559,374.7249457108927,1100,50
Baseline,97,1295.9199999999987,968.7939655796016,374.72494553763215,1100,50
Baseline,98,1309.2799999999986,968.7939653319665,374.7249453779858,1100,50
Baseline,99,1322.6399999999985,968.7939651037752,374.7249452308837,1100,50
Baseline,100,1335.9999999999984,968.793964893534,374.72494509534005,1100,50
+5 Initial T_gob,1,13.36,973.8484485525988,374.725556470718,1105,50
+5 Initial T_gob,2,26.72,973.8416672567834,374.720855722392,1105,50
+5 Initial T_gob,3,40.08,973.8353884663688,374.71650442451676,1105,50
+5 Initial T_gob,4,53.44,973.8295751326992,374.71247665211496,1105,50
+5 Initial T_gob,5,66.8,973.8241929115555,374.70874839593813,1105,50
+5 Initial T_gob,6,80.16,973.8192099698518,374.70529742198704,1105,50
+5 Initial T_gob,7,93.52,973.8145968051509,374.70210314118776,1105,50
+5 Initial T_gob,8,106.88,973.8103260780117,374.69914648849397,1105,50
+5 Initial T_gob,9,120.24,973.8063724557585,374.69640981076384,1105,50
+5 Initial T_gob,10,133.6,973.8027124673681,374.6938767627847,1105,50
+5 Initial T_gob,11,146.95999999999998,973.7993243683907,374.69153221086947,1105,50
+5 Initial T_gob,12,160.32,973.7961880154489,374.68936214349173,1105,50
+5 Initial T_gob,13,173.68,973.7932847497248,374.6873535884438,1105,50
+5 Initial T_gob,14,187.04000000000002,973.7905972886583,374.68549453606096,1105,50
+5 Initial T_gob,15,200.40000000000003,973.7881096253625,374.6837738680711,1105,50
+5 Initial T_gob,16,213.76000000000005,973.7858069353151,374.68218129166684,1105,50
+5 Initial T_gob,17,227.12000000000006,973.783675489731,374.6807072784169,1105,50
+5 Initial T_gob,18,240.48000000000008,973.7817025752043,374.6793430076697,1105,50
+5 Initial T_gob,19,253.8400000000001,973.7798764190517,374.67808031412744,1105,50
+5 Initial T_gob,20,267.2000000000001,973.7781861202111,374.6769116392801,1105,50
+5 Initial T_gob,21,280.5600000000001,973.776621585083,374.67582998641717,1105,50
+5 Initial T_gob,22,293.92000000000013,973.7751734680372,374.67482887896546,1105,50
+5 Initial T_gob,23,307.28000000000014,973.7738331162516,374.67390232189837,1105,50
+5 Initial T_gob,24,320.64000000000016,973.7725925185913,374.6730447660014,1105,50
+5 Initial T_gob,25,334.00000000000017,973.7714442582626,374.67225107477583,1105,50
+5 Initial T_gob,26,347.3600000000002,973.7703814688691,374.67151649379264,1105,50
+5 Initial T_gob,27,360.7200000000002,973.7693977937299,374.67083662231585,1105,50
+5 Initial T_gob,28,374.0800000000002,973.768487348109,374.67020738702695,1105,50
+5 Initial T_gob,29,387.4400000000002,973.7676446843888,374.6696250176955,1105,50
+5 Initial T_gob,30,400.80000000000024,973.7668647596165,374.6690860246538,1105,50
+5 Initial T_gob,31,414.16000000000025,973.7661429055637,374.6685871779398,1105,50
+5 Initial T_gob,32,427.52000000000027,973.7654748009456,374.6681254879913,1105,50
+5 Initial T_gob,33,440.8800000000003,973.7648564456464,374.66769818776953,1105,50
+5 Initial T_gob,34,454.2400000000003,973.7642841369975,374.66730271620906,1105,50
+5 Initial T_gob,35,467.6000000000003,973.763754447593,374.66693670289936,1105,50
+5 Initial T_gob,36,480.9600000000003,973.7632642049867,374.66659795390024,1105,50
+5 Initial T_gob,37,494.32000000000033,973.7628104726288,374.6662844386153,1105,50
+5 Initial T_gob,38,507.68000000000035,973.7623905324231,374.66599427763714,1105,50
+5 Initial T_gob,39,521.0400000000003,973.7620018685351,374.6657257314966,1105,50
+5 Initial T_gob,40,534.4000000000003,973.7616421522397,374.66547719025095,1105,50
+5 Initial T_gob,41,547.7600000000003,973.7613092281595,374.6652471638409,1105,50
+5 Initial T_gob,42,561.1200000000003,973.7610011013138,374.66503427316917,1105,50
+5 Initial T_gob,43,574.4800000000004,973.7607159251429,374.6648372418413,1105,50
+5 Initial T_gob,44,587.8400000000004,973.7604519905594,374.664654888521,1105,50
+5 Initial T_gob,45,601.2000000000004,973.7602077157264,374.66448611985,1105,50
+5 Initial T_gob,46,614.5600000000004,973.759981636496,374.66432992390213,1105,50
+5 Initial T_gob,47,627.9200000000004,973.759772397772,374.6641853641176,1105,50
+5 Initial T_gob,48,641.2800000000004,973.7595787453153,374.6640515736928,1105,50
+5 Initial T_gob,49,654.6400000000004,973.7593995182743,374.66392775038685,1105,50
+5 Initial T_gob,50,668.0000000000005,973.7592336422175,374.6638131517118,1105,50
+5 Initial T_gob,51,681.3600000000005,973.7590801227581,374.6637070904845,1105,50
+5 Initial T_gob,52,694.7200000000005,973.7589380395302,374.66360893070714,1105,50
+5 Initial T_gob,53,708.0800000000005,973.7588065406616,374.66351808375845,1105,50
+5 Initial T_gob,54,721.4400000000005,973.7586848378164,374.6634340048606,1105,50
+5 Initial T_gob,55,734.8000000000005,973.7585722012813,374.6633561898169,1105,50
+5 Initial T_gob,56,748.1600000000005,973.7584679557128,374.66328417198883,1105,50
+5 Initial T_gob,57,761.5200000000006,973.7583714760726,374.663217519499,1105,50
+5 Initial T_gob,58,774.8800000000006,973.758282183885,374.66315583264014,1105,50
+5 Initial T_gob,59,788.2400000000006,973.7581995437242,374.6630987414836,1105,50
+5 Initial T_gob,60,801.6000000000006,973.7581230600829,374.6630459036555,1105,50
+5 Initial T_gob,61,814.9600000000006,973.7580522743187,374.66299700228774,1105,50
+5 Initial T_gob,62,828.3200000000006,973.7579867619824,374.6629517441177,1105,50
+5 Initial T_gob,63,841.6800000000006,973.7579261302499,374.66290985772895,1105,50
+5 Initial T_gob,64,855.0400000000006,973.7578700155111,374.6628710919261,1105,50
+5 Initial T_gob,65,868.4000000000007,973.7578180812983,374.66283521422554,1105,50
+5 Initial T_gob,66,881.7600000000007,973.757770016165,374.6628020094629,1105,50
+5 Initial T_gob,67,895.1200000000007,973.7577255318595,374.6627712785039,1105,50
+5 Initial T_gob,68,908.4800000000007,973.7576843616412,374.66274283705036,1105,50
+5 Initial T_gob,69,921.8400000000007,973.7576462586131,374.6627165145322,1105,50
+5 Initial T_gob,70,935.2000000000007,973.7576109942752,374.6626921530861,1105,50
+5 Initial T_gob,71,948.5600000000007,973.7575783571525,374.6626696066116,1105,50
+5 Initial T_gob,72,961.9200000000008,973.7575481515313,374.66264873989013,1105,50
+5 Initial T_gob,73,975.2800000000008,973.7575201962213,374.6626294277803,1105,50
+5 Initial T_gob,74,988.6400000000008,973.7574943236202,374.6626115544608,1105,50
+5 Initial T_gob,75,1002.0000000000008,973.7574703785755,374.66259501274,1105,50
+5 Initial T_gob,76,1015.3600000000008,973.7574482174484,374.66257970341155,1105,50
+5 Initial T_gob,77,1028.7200000000007,973.7574277073741,374.6625655346595,1105,50
+5 Initial T_gob,78,1042.0800000000006,973.7574087253055,374.66255242151044,1105,50
+5 Initial T_gob,79,1055.4400000000005,973.757391157448,374.66254028531915,1105,50
+5 Initial T_gob,80,1068.8000000000004,973.7573748984245,374.66252905330066,1105,50
+5 Initial T_gob,81,1082.1600000000003,973.7573598507204,374.6625186580925,1105,50
+5 Initial T_gob,82,1095.5200000000002,973.7573459240908,374.6625090373513,1105,50
+5 Initial T_gob,83,1108.88,973.7573330350227,374.66250013337793,1105,50
+5 Initial T_gob,84,1122.24,973.7573211062271,374.6624918927703,1105,50
+5 Initial T_gob,85,1135.6,973.7573100661308,374.66248426610804,1105,50
+5 Initial T_gob,86,1148.9599999999998,973.7572998485579,374.66247720764994,1105,50
+5 Initial T_gob,87,1162.3199999999997,973.7572903922091,374.6624706750636,1105,50
+5 Initial T_gob,88,1175.6799999999996,973.7572816403847,374.6624646291705,1105,50
+5 Initial T_gob,89,1189.0399999999995,973.7572735405746,374.66245903371174,1105,50
+5 Initial T_gob,90,1202.3999999999994,973.7572660442371,374.662453855128,1105,50
+5 Initial T_gob,91,1215.7599999999993,973.7572591063772,374.6624490623615,1105,50
+5 Initial T_gob,92,1229.1199999999992,973.7572526854045,374.6624446266678,1105,50
+5 Initial T_gob,93,1242.479999999999,973.7572467428176,374.6624405214441,1105,50
+5 Initial T_gob,94,1255.839999999999,973.7572412429621,374.6624367220697,1105,50
+5 Initial T_gob,95,1269.199999999999,973.7572361528648,374.66243320575785,1105,50
+5 Initial T_gob,96,1282.5599999999988,973.7572314419774,374.66242995142056,1105,50
+5 Initial T_gob,97,1295.9199999999987,973.75722708207,374.6624269395397,1105,50
+5 Initial T_gob,98,1309.2799999999986,973.7572230469862,374.66242415205113,1105,50
+5 Initial T_gob,99,1322.6399999999985,973.7572193125233,374.6624215722382,1105,50
+5 Initial T_gob,100,1335.9999999999984,973.7572158562917,374.6624191846273,1105,50
-5 Initial T_gob,1,13.36,962.2373564945027,374.7996599697922,1095,50
-5 Initial T_gob,2,26.72,962.337298618093,374.8631895535091,1095,50
-5 Initial T_gob,3,40.08,962.4287494577808,374.9216834196678,1095,50
-5 Initial T_gob,4,53.44,962.5125052863503,374.97555947609413,1095,50
-5 Initial T_gob,5,66.8,962.5892756547472,375.025197966582,1095,50
-5 Initial T_gob,6,80.16,962.6596947588012,375.0709453449427,1095,50
-5 Initial T_gob,7,93.52,962.7243310162717,375.1131176737791,1095,50
-5 Initial T_gob,8,106.88,962.7836951830978,375.1520036183185,1095,50
-5 Initial T_gob,9,120.24,962.8382472685315,375.1878670934016,1095,50
-5 Initial T_gob,10,133.6,962.8884024574643,375.22094961186434,1095,50
-5 Initial T_gob,11,146.95999999999998,962.9345362069749,375.251472374638,1095,50
-5 Initial T_gob,12,160.32,962.9769886525769,375.2796381364304,1095,50
-5 Initial T_gob,13,173.68,963.016068433879,375.3056328755953,1095,50
-5 Initial T_gob,14,187.04000000000002,963.052056029927,375.32962729249084,1095,50
-5 Initial T_gob,15,200.40000000000003,963.0852066781429,375.3517781570351,1095,50
-5 Initial T_gob,16,213.76000000000005,963.1157529382806,375.3722295232139,1095,50
-5 Initial T_gob,17,227.12000000000006,963.1439069518839,375.39111382583735,1095,50
-5 Initial T_gob,18,240.48000000000008,963.1698624402086,375.408552872744,1095,50
-5 Initial T_gob,19,253.8400000000001,963.1937964758974,375.4246587439279,1095,50
-5 Initial T_gob,20,267.2000000000001,963.215871058766,375.439534607565,1095,50
-5 Initial T_gob,21,280.5600000000001,963.2362345205574,375.4532754616867,1095,50
-5 Initial T_gob,22,293.92000000000013,963.2550227811,375.46596880914655,1095,50
-5 Initial T_gob,23,307.28000000000014,963.2723604733842,375.4776952726293,1095,50
-5 Initial T_gob,24,320.64000000000016,963.288361954121,375.4885291556548,1095,50
-5 Initial T_gob,25,334.00000000000017,963.3031322129067,375.4985389548392,1095,50
-5 Initial T_gob,26,347.3600000000002,963.3167676917413,375.5077878281058,1095,50
-5 Initial T_gob,27,360.7200000000002,963.3293570252472,375.5163340229969,1095,50
-5 Initial T_gob,28,374.0800000000002,963.3409817102333,375.52423126880683,1095,50
-5 Initial T_gob,29,387.4400000000002,963.35171671225,375.53152913586916,1095,50
-5 Initial T_gob,30,400.80000000000024,963.3616310161077,375.53827336495937,1095,50
-5 Initial T_gob,31,414.16000000000025,963.3707881257317,375.54450616951266,1095,50
-5 Initial T_gob,32,427.52000000000027,963.3792465192025,375.55026651304473,1095,50
-5 Initial T_gob,33,440.8800000000003,963.3870600629415,375.55559036395704,1095,50
-5 Initial T_gob,34,454.2400000000003,963.3942783894673,375.5605109296867,1095,50
-5 Initial T_gob,35,467.6000000000003,963.4009472421018,375.5650588719759,1095,50
-5 Initial T_gob,36,480.9600000000003,963.4071087898378,375.5692625048664,1095,50
-5 Initial T_gob,37,494.32000000000033,963.4128019153704,375.57314797687275,1095,50
-5 Initial T_gob,38,507.68000000000035,963.418062478389,375.5767394386745,1095,50
-5 Initial T_gob,39,521.0400000000003,963.4229235570541,375.58005919750894,1095,50
-5 Initial T_gob,40,534.4000000000003,963.4274156689667,375.5831278593826,1095,50
-5 Initial T_gob,41,547.7600000000003,963.4315669739219,375.5859644600904,1095,50
-5 Initial T_gob,42,561.1200000000003,963.4354034599795,375.58858658595665,1095,50
-5 Initial T_gob,43,574.4800000000004,963.4389491142718,375.59101048513384,1095,50
-5 Initial T_gob,44,587.8400000000004,963.4422260797995,375.59325117021797,1095,50
-5 Initial T_gob,45,601.2000000000004,963.445254799699,375.595322512881,1095,50
-5 Initial T_gob,46,614.5600000000004,963.4480541497273,375.5972373311533,1095,50
-5 Initial T_gob,47,627.9200000000004,963.4506415601373,375.5990074699499,1095,50
-5 Initial T_gob,48,641.2800000000004,963.4530331279775,375.60064387536573,1095,50
-5 Initial T_gob,49,654.6400000000004,963.4552437202587,375.6021566632381,1095,50
-5 Initial T_gob,50,668.0000000000005,963.4572870689892,375.60355518243205,1095,50
-5 Initial T_gob,51,681.3600000000005,963.4591758589187,375.60484807324536,1095,50
-5 Initial T_gob,52,694.7200000000005,963.4609218079408,375.60604332134255,1095,50
-5 Initial T_gob,53,708.0800000000005,963.4625357417034,375.60714830754074,1095,50
-5 Initial T_gob,54,721.4400000000005,963.4640276619849,375.6081698537857,1095,50
-5 Initial T_gob,55,734.8000000000005,963.4654068099386,375.60911426560716,1095,50
-5 Initial T_gob,56,748.1600000000005,963.4666817243105,375.609987371332,1095,50
-5 Initial T_gob,57,761.5200000000006,963.4678602952832,375.6107945582964,1095,50
-5 Initial T_gob,58,774.8800000000006,963.468949813899,375.61154080630405,1095,50
-5 Initial T_gob,59,788.2400000000006,963.4699570179582,375.6122307185263,1095,50
-5 Initial T_gob,60,801.6000000000006,963.4708881341187,375.61286855005136,1095,50
-5 Initial T_gob,61,814.9600000000006,963.47174891692,375.61345823425927,1095,50
-5 Initial T_gob,62,828.3200000000006,963.4725446847442,375.6140034071912,1095,50
-5 Initial T_gob,63,841.6800000000006,963.4732803529687,375.61450743006634,1095,50
-5 Initial T_gob,64,855.0400000000006,963.4739604646649,375.6149734100869,1095,50
-5 Initial T_gob,65,868.4000000000007,963.4745892189374,375.6154042196615,1095,50
-5 Initial T_gob,66,881.7600000000007,963.4751704968636,375.61580251417826,1095,50
-5 Initial T_gob,67,895.1200000000007,963.4757078859357,375.6161707484163,1095,50
-5 Initial T_gob,68,908.4800000000007,963.4762047021169,375.61651119172086,1095,50
-5 Initial T_gob,69,921.8400000000007,963.4766640105267,375.61682594202756,1095,50
-5 Initial T_gob,70,935.2000000000007,963.4770886444757,375.6171169388213,1095,50
-5 Initial T_gob,71,948.5600000000007,963.4774812230019,375.61738597511544,1095,50
-5 Initial T_gob,72,961.9200000000008,963.477844167097,375.6176347085237,1095,50
-5 Initial T_gob,73,975.2800000000008,963.4781797147997,375.61786467149113,1095,50
-5 Initial T_gob,74,988.6400000000008,963.4784899349306,375.6180772807539,1095,50
-5 Initial T_gob,75,1002.0000000000008,963.4787767399787,375.6182738460826,1095,50
-5 Initial T_gob,76,1015.3600000000008,963.479041897895,375.6184555783637,1095,50
-5 Initial T_gob,77,1028.7200000000007,963.4792870430783,375.61862359706714,1095,50
-5 Initial T_gob,78,1042.0800000000006,963.4795136864773,375.6187789371528,1095,50
-5 Initial T_gob,79,1055.4400000000005,963.4797232248176,375.618922555454,1095,50
-5 Initial T_gob,80,1068.8000000000004,963.4799169493912,375.6190553365783,1095,50
-5 Initial T_gob,81,1082.1600000000003,963.4800960539253,375.6191780983599,1095,50
-5 Initial T_gob,82,1095.5200000000002,963.4802616420324,375.619291596903,1095,50
-5 Initial T_gob,83,1108.88,963.4804147339428,375.6193965312436,1095,50
-5 Initial T_gob,84,1122.24,963.4805562728825,375.6194935476559,1095,50
-5 Initial T_gob,85,1135.6,963.4806871308118,375.61958324363917,1095,50
-5 Initial T_gob,86,1148.9599999999998,963.4808081139187,375.61966617159777,1095,50
-5 Initial T_gob,87,1162.3199999999997,963.4809199674595,375.6197428422444,1095,50
-5 Initial T_gob,88,1175.6799999999996,963.4810233804893,375.61981372775114,1095,50
-5 Initial T_gob,89,1189.0399999999995,963.4811189899955,375.61987926465537,1095,50
-5 Initial T_gob,90,1202.3999999999994,963.4812073849054,375.61993985655073,1095,50
-5 Initial T_gob,91,1215.7599999999993,963.4812891096745,375.61999587657397,1095,50
-5 Initial T_gob,92,1229.1199999999992,963.48136466768,375.6200476697034,1095,50
-5 Initial T_gob,93,1242.479999999999,963.4814345243107,375.62009555488333,1095,50
-5 Initial T_gob,94,1255.839999999999,963.4814991097878,375.6201398269914,1095,50
-5 Initial T_gob,95,1269.199999999999,963.4815588218789,375.6201807586536,1095,50
-5 Initial T_gob,96,1282.5599999999988,963.4816140283654,375.62021860192255,1095,50
-5 Initial T_gob,97,1295.9199999999987,963.4816650692413,375.6202535898313,1095,50
-5 Initial T_gob,98,1309.2799999999986,963.4817122588247,375.6202859378295,1095,50
-5 Initial T_gob,99,1322.6399999999985,963.4817558877621,375.62031584510737,1095,50
-5 Initial T_gob,100,1335.9999999999984,963.481796224683,375.6203434958275,1095,50
