Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
Nominal,100,1335.9999999999984,968.793964893534,374.72494509534005,106.0,120.0
+10% Contact,1,13.36,962.4610137156432,375.004369206282,116.60000000000002,120.0
+10% Contact,2,26.72,962.8228822032013,375.2578496901073,116.60000000000002,120.0
+10% Contact,3,40.08,963.1524884681551,375.49280094443463,116.60000000000002,120.0
+10% Contact,4,53.44,963.4534893286516,375.7107634072325,116.60000000000002,120.0
+10% Contact,5,66.8,963.7290053121277,375.9131188266949,116.60000000000002,120.0
+10% Contact,6,80.16,963.9817160199543,376.1011115363342,116.60000000000002,120.0
+10% Contact,7,93.52,964.2139367260153,376.2758661583685,116.60000000000002,120.0
+10% Contact,8,106.88,964.4276799308811,376.4384024239175,116.60000000000002,120.0
+10% Contact,9,120.24,964.6247049603008,376.5896476586065,116.60000000000002,120.0
+10% Contact,10,133.6,964.8065580950627,376.7304473693864,116.60000000000002,120.0
+10% Contact,11,146.95999999999998,964.9746052016404,376.8615742788536,116.60000000000002,120.0
+10% Contact,12,160.32,965.130058411777,376.9837360828472,116.60000000000002,120.0
+10% Contact,13,173.68,965.2739980637821,377.0975821517121,116.60000000000002,120.0
+10% Contact,14,187.04000000000002,965.407390854362,377.2037093522073,116.60000000000002,120.0
+10% Contact,15,200.40000000000003,965.5311049465496,377.3026671328107,116.60000000000002,120.0
+10% Contact,16,213.76000000000005,965.6459226182682,377.3949619882618,116.60000000000002,120.0
+10% Contact,17,227.12000000000006,965.7525509152881,377.4810613977946,116.60000000000002,120.0
+10% Contact,18,240.48000000000008,965.8516306736426,377.56139731458916,116.60000000000002,120.0
+10% Contact,19,253.8400000000001,965.9437442046201,377.636369270374,116.60000000000002,120.0
+10% Contact,20,267.2000000000001,966.029421875389,377.706347148224,116.60000000000002,120.0
+10% Contact,21,280.5600000000001,966.1091477730992,377.7716736678365,116.60000000000002,120.0
+10% Contact,22,293.92000000000013,966.1833646044743,377.83266662041007,116.60000000000002,120.0
+10% Contact,23,307.28000000000014,966.2524779542013,377.8896208844498,116.60000000000002,120.0
+10% Contact,24,320.64000000000016,966.316860002683,377.9428102490623,116.60000000000002,120.0
+10% Contact,25,334.00000000000017,966.3768527858052,377.99248906736926,116.60000000000002,120.0
+10% Contact,26,347.3600000000002,966.4327710648653,378.0388937594267,116.60000000000002,120.0
+10% Contact,27,360.7200000000002,966.4849048628932,378.08224418132806,116.60000000000002,120.0
+10% Contact,28,374.0800000000002,966.5335217145989,378.1227448749062,116.60000000000002,120.0
+10% Contact,29,387.4400000000002,966.5788686687098,378.16058621056646,116.60000000000002,120.0
+10% Contact,30,400.80000000000024,966.6211740762632,378.1959454341524,116.60000000000002,120.0
+10% Contact,31,414.16000000000025,966.6606491922079,378.22898762741016,116.60000000000002,120.0
+10% Contact,32,427.52000000000027,966.6974896140104,378.2598665904459,116.60000000000002,120.0
+10% Contact,33,440.8800000000003,966.7318765774402,378.2887256535945,116.60000000000002,120.0
+10% Contact,34,454.2400000000003,966.7639781264027,378.3156984252493,116.60000000000002,120.0
+10% Contact,35,467.6000000000003,966.7939501720099,378.34090948147525,116.60000000000002,120.0
+10% Contact,36,480.9600000000003,966.8219374528294,378.3644750026083,116.60000000000002,120.0
+10% Contact,37,494.32000000000033,966.8480744079014,378.3865033614709,116.60000000000002,120.0
+10% Contact,38,507.68000000000035,966.8724859717767,378.40709566735364,116.60000000000002,120.0
+10% Contact,39,521.0400000000003,966.8952882996689,378.42634626951144,116.60000000000002,120.0
+10% Contact,40,534.4000000000003,966.9165894302557,378.4443432235292,116.60000000000002,120.0
+10% Contact,41,547.7600000000003,966.9364898923004,378.46116872359454,116.60000000000002,120.0
+10% Contact,42,561.1200000000003,966.9550832605793,378.47689950343033,116.60000000000002,120.0
+10% Contact,43,574.4800000000004,966.9724566662838,378.4916072083823,116.60000000000002,120.0
+10% Contact,44,587.8400000000004,966.9886912660068,378.5053587409149,116.60000000000002,120.0
+10% Contact,45,601.2000000000004,967.0038626731754,378.51821658159486,116.60000000000002,120.0
+10% Contact,46,614.5600000000004,967.0180413556549,378.53023908742756,116.60000000000002,120.0
+10% Contact,47,627.9200000000004,967.0312930021156,378.5414807692777,116.60000000000002,120.0
+10% Contact,48,641.2800000000004,967.0436788603737,378.55199254993295,116.60000000000002,120.0
+10% Contact,49,654.6400000000004,967.0552560498161,378.5618220042631,116.60000000000002,120.0
+10% Contact,50,668.0000000000005,967.0660778503398,378.57101358278044,116.60000000000002,120.0
+10% Contact,51,681.3600000000005,967.0761939695144,378.5796088198371,116.60000000000002,120.0
+10% Contact,52,694.7200000000005,967.0856507902449,378.5876465275464,116.60000000000002,120.0
+10% Contact,53,708.0800000000005,967.0944915999113,378.5951629764827,116.60000000000002,120.0
+10% Contact,54,721.4400000000005,967.1027568031294,378.602192064087,116.60000000000002,120.0
+10% Contact,55,734.8000000000005,967.1104841188247,378.6087654716629,116.60000000000002,120.0
+10% Contact,56,748.1600000000005,967.1177087633673,378.6149128107651,116.60000000000002,120.0
+10% Contact,57,761.5200000000006,967.1244636205519,378.6206617597248,116.60000000000002,120.0
+10% Contact,58,774.8800000000006,967.1307793995148,378.62603819100195,116.60000000000002,120.0
+10% Contact,59,788.2400000000006,967.1366847815908,378.63106629000407,116.60000000000002,120.0
+10% Contact,60,801.6000000000006,967.1422065567363,378.6357686659589,116.60000000000002,120.0
+10% Contact,61,814.9600000000006,967.1473697506206,378.6401664553914,116.60000000000002,120.0
+10% Contact,62,828.3200000000006,967.1521977427261,378.644279418709,116.60000000000002,120.0
+10% Contact,63,841.6800000000006,967.1567123763627,378.64812603037313,116.60000000000002,120.0
+10% Contact,64,855.0400000000006,967.1609340611188,378.6517235630848,116.60000000000002,120.0
+10% Contact,65,868.4000000000007,967.1648818682817,378.65508816639687,116.60000000000002,120.0
+10% Contact,66,881.7600000000007,967.1685736196914,378.65823494012966,116.60000000000002,120.0
+10% Contact,67,895.1200000000007,967.172025970664,378.6611780029355,116.60000000000002,120.0
+10% Contact,68,908.4800000000007,967.1752544871376,378.66393055634796,116.60000000000002,120.0
+10% Contact,69,921.8400000000007,967.1782737177427,378.6665049446093,116.60000000000002,120.0
+10% Contact,70,935.2000000000007,967.1810972609042,378.66891271056267,116.60000000000002,120.0
+10% Contact,71,948.5600000000007,967.183737827497,378.6711646478771,116.60000000000002,120.0
+10% Contact,72,961.9200000000008,967.1862072993156,378.67327084983657,116.60000000000002,120.0
+10% Contact,73,975.2800000000008,967.1885167834644,378.67524075494146,116.60000000000002,120.0
+10% Contact,74,988.6400000000008,967.1906766634663,378.67708318950827,116.60000000000002,120.0
