alfa1_1,alfa1_2,alfa1_3,alfa1_4,alfa2_1,alfa2_2,alfa2_3,alfa2_4,beta1_1,beta1_2,beta1_3,beta1_4,beta2_1,beta2_2,beta2_3,beta2_4,k_settle_1,k_settle_2,k_settle_3,k_settle_4,k_counter_1,k_counter_2,k_counter_3,k_counter_4
23547.173403583467,-105.02950147869615,0.1593785549157154,-8.0619634571127072e-05,-255943.85487877997,1165.6780054958635,-1.765828007588361,0.00089242097747890825,41299.056976372376,-200.28625736257527,0.32768538725090224,-0.00017873186204046473,-376999.26183378696,1853.3053248190699,-3.0334665565025887,0.0016558794815016223,4073523.6389976386,-31536.438345508315,75.520223218687875,-0.072168908536587528,718499.88920392469,-17824.545001826773,87.317609845435982,-0.1861001587563611
23197.632257114397,-104.08663820854144,0.15896065268642978,-8.0924263217366753e-05,-252679.98430153588,1158.120349712297,-1.7654512097845974,0.00089786847932004157,40901.226475164294,-199.62414220930805,0.32875254019189271,-0.00018049476393057484,-373663.17764910497,1849.0315422391941,-3.0463914206975744,0.0016738826652541103,4111913.2617402151,-32050.89821526139,77.394516398135181,-0.074327456398218694,709732.98289819993,-17747.271990185516,87.313668981271803,-0.18717466592317589
23008.492491315352,-103.76539667394263,0.15932658504038955,-8.1549173428127966e-05,-251643.25128675485,1159.5145544819643,-1.7769578274032582,0.00090851497008763264,40599.336230736226,-199.23324761731783,0.32995306646120071,-0.00018217227796639077,-369941.70040496625,1841.0268883025055,-3.0503937592844323,0.0016855851353343929,4085124.9654548615,-31973.917275142041,77.519479705700746,-0.074783738677479283,703357.87887220085,-17700.957402872882,87.428744252613342,-0.18833114728114886
22768.522816675715,-103.33107241160906,0.15972059463437915,-8.2297689536050926e-05,-249820.93037129007,1158.8008041834055,-1.7876569936053386,0.00092005147103990485,40216.323076901957,-198.6851850944804,0.33133135543260295,-0.00018420426827566935,-365111.55375442468,1829.7387766031097,-3.0528870802770172,0.001698764345266654,4048414.4007568564,-31834.343568055963,77.517695929878244,-0.075176229307032216,697555.2290341612,-17677.331596657168,87.76820864856677,-0.19014504001088417
22551.634490910219,-102.8994692056358,0.15996623969903823,-8.2897438775956719e-05,-247271.63575144857,1153.6600723006322,-1.790028535149002,0.0009266041216780211,39863.356208022684,-198.08030403447628,0.33229298462146062,-0.00018584097450389733,-361517.06451565027,1822.5610568301563,-3.0590378084191201,0.0017123384325584273,4033746.6305049751,-31859.010418649472,77.928776360731263,-0.075904419945518775,693373.95846845023,-17664.780244329304,88.085855750942983,-0.19171797674385704
29920.574777972419,-132.83180837781038,0.19974484356583488,-0.00010013683190740648,-321661.47728225403,1452.2631414796779,-2.1820052309006108,0.0010936553746175842,39382.579771612771,-188.91008003601382,0.30586468969926983,-0.00016510343024027374,-359831.9224604303,1750.6897956329267,-2.8358699885954621,0.0015320652946585814,3920720.974687716,-29699.807222037576,68.922153615537525,-0.064737611875087142,720660.81440407597,-17474.894605757523,82.916680571725919,-0.17207076309284508
28865.212584608234,-130.51639327074918,0.20009553871483376,-0.00010227221098368412,-309193.63039355166,1423.3473248645278,-2.180283960662706,0.0011141350805982733,38699.606623143889,-189.13204397484151,0.31215819783970744,-0.00017176542036607956,-351150.34393613972,1741.7815416044396,-2.8763056464599686,0.0015841367261440267,3845566.9560196586,-29686.282813165541,70.19236667878863,-0.067183255752046256,697856.93800025247,-17363.114845325792,83.954502128134891,-0.17793513629773416
28665.603142132983,-129.89477177725348,0.19960310068820419,-0.00010225686706762625,-307667.04444959247,1419.5307602478424,-2.1793422744782234,0.0011161689096870538,38483.9467632249,-188.54260637020707,0.31198228843234688,-0.00017210849478431489,-349159.86266412772,1736.3609487795984,-2.8746981648739762,0.0015873093592056534,3880723.940961834,-30029.741507914558,71.2668504081945,-0.068285624582267057,696485.76739663631,-17352.820397214207,83.976114032333498,-0.17817558248028087
28504.38350585429,-129.50970034400962,0.19956900141830758,-0.00010252609543816987,-307299.72600398632,1421.7196595454261,-2.1886618910985156,0.0011239978687901612,38222.159756900743,-187.82300491597198,0.31176074095570527,-0.00017252291133612249,-346757.02221377287,1729.8076901983804,-2.872776646368834,0.0015911973060764792,3853591.1697682831,-29842.052138585001,70.83391236146133,-0.067977321446179906,693605.95698799565,-17321.934697549674,83.905806121664,-0.17829952360529422
28320.562531118281,-128.96816465883603,0.19921528515784459,-0.00010259208521902832,-305633.84134861222,1417.4790108898887,-2.1874456559197384,0.0011261056066947453,38011.235991271213,-187.26197837951986,0.31164928856874496,-0.0001729163283908132,-344768.84629982896,1724.4368114801255,-2.8714000579675485,0.0015946269174507491,3843021.6723540369,-29781.888930316913,70.729348149988198,-0.067944700839579319,692033.51246325858,-17307.436729939101,83.902024756091123,-0.17848889341650898
